"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","negLogP","sig"
1.94427401715252e-132,7.75595974666996,1,0,4.60520743702745e-128,"DSG3",127.33675080266,"Significant"
1.78277196068522e-24,1.24076854422176,0.643,0.213,4.22267366607901e-20,"LOC100506599",19.3744124801421,"Significant"
3.92032157849305e-24,1.20005194532421,0.723,0.299,9.28567369081865e-20,"PLEKHH1",19.0321865820059,"Significant"
6.61680024654885e-22,-0.394040107109101,0.946,0.972,1.56725530639756e-17,"RPL23",16.8048602510565,"Significant"
4.46036137339785e-21,0.93336795746666,0.617,0.204,1.05648119490301e-16,"FHAD1",15.9761382288744,"Significant"
4.96095218780761e-21,-0.546677818239848,0.857,0.951,1.17505113520411e-16,"RPS26",15.9299432336018,"Significant"
5.94350316601804e-21,0.702695836776462,0.704,0.284,1.40777815990303e-16,"MS4A2",15.8514657766716,"Significant"
6.3131308151572e-21,0.859021769749468,0.669,0.244,1.49532816487814e-16,"PIN4P1",15.8252634865664,"Significant"
6.44507974506891e-21,-0.175484342534377,1,1,1.52658158841702e-16,"HLA-B",15.8162799798013,"NS"
7.97669791512177e-21,0.871757093670773,0.728,0.296,1.88936066817574e-16,"SKIDA1",15.7236851298245,"Significant"
9.16997532069731e-21,0.812630975432838,0.723,0.293,2.17200035446036e-16,"BCAS1",15.6631401082083,"Significant"
1.3706538222551e-20,0.798541932650473,0.608,0.201,3.24653064339342e-16,"LOC100128593",15.4885804935478,"Significant"
1.73748504368408e-20,-0.345817524033475,0.981,0.985,4.11540707447011e-16,"RPS20",15.385587200196,"Significant"
1.8567854573132e-20,0.814650723754113,0.707,0.299,4.39798203419205e-16,"DSC3",15.3567465490696,"Significant"
3.94984529131745e-20,-0.294658222230279,0.953,0.978,9.35560355701452e-16,"RPL12",15.0289281896684,"Significant"
5.76125559187933e-20,-0.424002105858455,0.984,0.994,1.36461099949254e-15,"RPL28",14.8649911323968,"Significant"
6.51976362083324e-20,1.32711212803365,0.453,0.117,1.54427121123056e-15,"PHKG1",14.8112764247274,"Significant"
9.60647349257732e-20,0.441387063636028,0.725,0.284,2.27538931145186e-15,"ERLIN2",14.6429442863254,"Significant"
9.84019747027309e-20,-0.245249784723905,0.993,0.991,2.33074917280888e-15,"RPS27A",14.6325044612397,"NS"
1.0605638000274e-19,0.947888347359267,0.481,0.133,2.51205141674491e-15,"FGB",14.5999714756912,"Significant"
1.57720429924933e-19,-0.340201615902235,0.927,0.988,3.73576610320197e-15,"RPL26",14.4276203228243,"Significant"
1.70649466284394e-19,-0.268886952634845,0.988,0.988,4.04200325841216e-15,"RPS25",14.3934033407193,"Significant"
1.95250621050916e-19,0.727228656268522,0.42,0.096,4.624706210212e-15,"SORBS1",14.3349158511058,"Significant"
1.97831054582147e-19,-0.395059578353449,0.885,0.969,4.68582635883273e-15,"RPS17L",14.3292138089525,"Significant"
1.97831054582147e-19,-0.395059578353449,0.885,0.969,4.68582635883273e-15,"RPS17",14.3292138089525,"Significant"
3.64121877385973e-19,0.84070060422595,0.596,0.204,8.62459078776417e-15,"LRRC3",14.0642615018004,"Significant"
4.30665636830552e-19,1.09975920344152,0.467,0.13,1.02007462739685e-14,"MOGAT3",13.9913680546292,"Significant"
6.01130854937083e-19,-0.177552556555911,1,1,1.42383854300397e-14,"TMSB4X",13.8465392549814,"NS"
7.22418056663486e-19,0.778625233156334,0.824,0.438,1.71111940901313e-14,"WNT7B",13.7667196825302,"Significant"
9.18615725641238e-19,0.82544957386982,0.629,0.228,2.17583320775384e-14,"BACE1-AS",13.6623743992902,"Significant"
9.23289903472929e-19,0.826327752466072,0.601,0.213,2.18690446536598e-14,"LINC00410",13.6601701886453,"Significant"
1.38779039806344e-18,0.813283509387591,0.796,0.42,3.28712033685307e-14,"STEAP2",13.4831843967171,"Significant"
1.48153554680148e-18,0.66189704464549,0.608,0.207,3.50916509615399e-14,"AMER3",13.4547961989941,"Significant"
1.6021033731483e-18,-0.23024844368526,0.991,0.994,3.79474204963906e-14,"RPS19",13.4208177402496,"NS"
1.68158543805536e-18,-0.183153476200813,1,1,3.98300326857792e-14,"HLA-C",13.3997893371948,"NS"
1.68844623149928e-18,0.551473759978631,0.676,0.259,3.99925374392919e-14,"KLHL30",13.3980210399544,"Significant"
1.72275750219361e-18,-0.163638217206788,0.998,1,4.08052341969579e-14,"HLA-A",13.3892841252176,"NS"
2.00055234136532e-18,1.0091840554402,0.467,0.13,4.7385082757579e-14,"LRP4-AS1",13.3243583565475,"Significant"
2.13081599979934e-18,0.781134491089333,0.711,0.29,5.04705077712471e-14,"HJURP",13.2969623259154,"Significant"
2.26073006512122e-18,0.644678495856137,0.674,0.269,5.35476523224612e-14,"CPB2-AS1",13.2712595650889,"Significant"
2.85824408021383e-18,-0.204668952873475,1,1,6.77003692839447e-14,"RPS27",13.1694089623704,"NS"
3.49205433508232e-18,-0.327847490784686,0.934,0.957,8.27127989807597e-14,"RPL37A",13.0824272825075,"Significant"
3.95539446385714e-18,0.7191063653454,0.761,0.349,9.36874732709202e-14,"SLC15A1",13.028318473712,"Significant"
4.03582853516848e-18,0.490060355343136,0.538,0.167,9.55926346840006e-14,"NRSN1",13.0195755683863,"Significant"
4.87041922869439e-18,0.522816998445563,0.57,0.194,1.15360749850855e-13,"MIR210HG",12.9379419296788,"Significant"
6.3610769044357e-18,0.639022814583544,0.587,0.204,1.50668467558464e-13,"FLJ31485",12.8219776288948,"Significant"
6.79662113826133e-18,0.655957163312677,0.873,0.577,1.60984768280858e-13,"KBTBD12",12.7932152131887,"Significant"
8.08277790214181e-18,0.992903077759923,0.369,0.077,1.91448677390131e-13,"IL31RA",12.7179476295991,"Significant"
1.01653389462355e-17,0.995442999020011,0.535,0.176,2.40776218280533e-13,"LINC00310",12.6183864110171,"Significant"
1.11542503956375e-17,0.969394392119921,0.531,0.176,2.64199574871069e-13,"LZTS1",12.578067885553,"Significant"
1.1718388858507e-17,-0.272528747789192,0.986,0.988,2.77561758502597e-13,"RPS11",12.5566403696846,"Significant"
1.34128029636621e-17,0.728380832012496,0.749,0.352,3.176956509973e-13,"ZNRF3",12.4979887302808,"Significant"
1.3929100895016e-17,0.708365990399566,0.549,0.188,3.29924683799349e-13,"CNTN4",12.4815851908602,"Significant"
1.44994041428031e-17,-0.268576123276408,0.974,0.972,3.43432886526435e-13,"RPS15",12.4641581199115,"Significant"
1.50971331118361e-17,-0.222588648349178,0.998,1,3.57590694886951e-13,"RPL41",12.4466137908041,"NS"
1.51564051133452e-17,0.762372157287494,0.585,0.213,3.58994611514694e-13,"GAL3ST4",12.4449120701041,"Significant"
1.55598216122837e-17,0.803054565368444,0.333,0.059,3.68549934708553e-13,"C1orf141",12.4335036614028,"Significant"
1.60408664731003e-17,0.45322366621609,0.702,0.278,3.79943963281855e-13,"ZAK",12.4202804513622,"Significant"
1.63716078129521e-17,0.756028508859576,0.448,0.123,3.87777902657584e-13,"RHPN1-AS1",12.4114169426201,"Significant"
1.76562547329148e-17,0.669666321330901,0.798,0.426,4.1820604960382e-13,"USP54",12.3786096891402,"Significant"
1.77602005998269e-17,0.866383413089261,0.432,0.12,4.206681114075e-13,"FLJ41200",12.3760604082698,"Significant"
1.88842461020231e-17,0.760261989410823,0.599,0.222,4.47292253172519e-13,"MYO5C",12.3494086234763,"Significant"
1.89552031274923e-17,0.645034312837707,0.491,0.145,4.48972941277783e-13,"FLJ14107",12.3477798322881,"Significant"
2.10419054970535e-17,0.969236691146812,0.563,0.201,4.98398573603209e-13,"CDAN1",12.3024232092806,"Significant"
2.12928566407373e-17,0.342677966371013,0.561,0.185,5.04342602392503e-13,"IL13RA1",12.2972743449432,"Significant"
2.7087065226566e-17,1.17346358118376,0.451,0.13,6.41584226956443e-13,"C6orf147",12.1927463215163,"Significant"
2.75901371509702e-17,0.631670423814221,0.847,0.46,6.53499988557881e-13,"LMOD3",12.1847544156875,"Significant"
2.7606472756056e-17,0.862321033146171,0.77,0.414,6.53886913699943e-13,"SPDYE5",12.1844973541264,"Significant"
3.01530275657417e-17,0.049051424401958,0.631,0.244,7.14204610922157e-13,"AVPR1A",12.1461773503186,"NS"
3.3299265616652e-17,-0.278190355119479,0.953,0.981,7.88726405396019e-13,"EIF1",12.1030736193923,"Significant"
3.35306164550453e-17,0.569793592329781,0.566,0.204,7.94206181354202e-13,"TRAM2",12.1000667371191,"Significant"
