"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"CHP2",-3.40656915234954,6.09401819494719,-11.291564940151,2.55819636801544e-20,3.29438140059005e-16,35.4243860575049
"IL37",-3.53103184591635,5.09381527106128,-11.1650737158007,5.05311971867482e-20,3.29438140059005e-16,34.769310729064
"FGFR2",-1.88692624520743,5.15376107503592,-10.517588536553,1.65612911618719e-18,7.19808918198827e-15,31.4082999849359
"PAMR1",-2.20865517786809,6.1218926814363,-10.1943599937614,9.46233127623193e-18,3.0844834377697e-14,29.7282027304091
"BLMH",-1.75721949725078,7.63023512772801,-9.88007832428518,5.1436338179056e-17,1.34135682703342e-13,28.0953330014454
"CDHR1",-1.78402387989853,7.27192310454522,-9.69875330393113,1.36425956509722e-16,2.96476341155045e-13,27.1542551034023
"KPLCE",-2.06613181651809,6.84131098750615,-9.15390797329322,2.53214938457366e-15,4.71667083220799e-12,24.3351171382033
"ALDH3A2",-2.20312692273021,7.53766477416911,-8.88083582382435,1.08602566860483e-14,1.72018928871627e-11,22.9295089097314
"HLF",-1.90849685565563,4.93244841665091,-8.86406792665124,1.18733826201752e-14,1.72018928871627e-11,22.8434048897688
"PTPN3",-1.16729838504424,6.69482927408609,-8.77432444534413,1.91284396401447e-14,2.4432884493536e-11,22.3830191875823
"SCEL",-3.77910426225027,5.29019983167263,-8.76025188571697,2.06121427585625e-14,2.4432884493536e-11,22.3108979696752
"TMEM254",-1.61119985035869,5.69204679730646,-8.71414102323881,2.63248530853938e-14,2.86041466150375e-11,22.074722625409
"PLLP",-1.90835142916533,6.61688389996357,-8.60451811368334,4.70477548715446e-14,4.41835348553363e-11,21.5141478876632
"DLG5",-1.38682167209371,6.87908705273879,-8.59557761694973,4.93263702300412e-14,4.41835348553363e-11,21.4684875524084
"CYP4B1",-2.83555068304543,3.86863842709803,-8.58990592321168,5.08285162075347e-14,4.41835348553363e-11,21.4395261386274
"NEBL",-1.16308450649381,6.49962761653554,-8.5094162769461,7.7771085615517e-14,6.17229792182439e-11,21.028923276167
"DES",-2.27936216724578,5.8041586196182,-8.50294601182584,8.04732453953637e-14,6.17229792182439e-11,20.9959497492074
"KLK1",-2.19951740576632,6.41702538655245,-8.48553605235294,8.82172183690981e-14,6.39035727952595e-11,20.9072509618347
"MARCKSL1",1.95544158605989,10.3439883562117,8.38163053843171,1.5252633825282e-13,1.04673206551501e-10,20.3786682596662
"EXPH5",-2.11363853253268,6.44622458696883,-8.35953445302986,1.71329876345667e-13,1.11698512883558e-10,20.2664413903999
"GAN",-1.90984483075412,3.8394094974982,-8.25092778880392,3.03088031657775e-13,1.88188802132654e-10,19.7157841140334
"FBXW7",-2.27799520971525,6.65694383690749,-8.23921725370405,3.22283196841347e-13,1.91011391073378e-10,19.6565075305576
"TACC2",-2.56989525952528,6.205700818015,-8.21442988562442,3.66993506803613e-13,2.00478832285512e-10,19.5311033096379
"GATA3",-2.7031212746963,7.11750619228034,-8.21338517504226,3.69007744064137e-13,2.00478832285512e-10,19.5258198616469
"SERPINE2",3.30396153549168,11.2910890509193,8.20132611977364,3.93069366298152e-13,2.05009258686464e-10,19.4648447257333
"IDE",-1.26532324291309,7.32126379483834,-8.07034002747677,7.79542111546466e-13,3.70848846273392e-10,18.8039333835719
"POU2F3",-2.08165006698738,4.69605750039869,-8.06699969844298,7.93245818725983e-13,3.70848846273392e-10,18.7871137988379
"TUFT1",-2.35524631198499,7.16236712538598,-8.05665377666272,8.37227960316255e-13,3.70848846273392e-10,18.7350301148104
"PRAME",4.53935914560825,8.97364127810996,8.05336176369264,8.51724897388506e-13,3.70848846273392e-10,18.718460953016
"ARPC1B",1.42286402081015,10.7101108350129,8.05146040304155,8.60211261394482e-13,3.70848846273392e-10,18.7088919258572
"DEGS1",-1.89844389160016,8.37847563376183,-8.0467309092498,8.8168680377906e-13,3.70848846273392e-10,18.6850921835792
"SH3GLB2",-1.82684185841191,6.65971117792874,-8.02229931337942,1.00140776050024e-12,4.08042368411331e-10,18.5622048096056
"TMEM43",-1.17931416191033,8.73061457847458,-7.96273362225313,1.36536579941349e-12,5.39484989653108e-10,18.2630065518315
"C1orf116",-3.33828239694285,4.06537168728709,-7.94048284786869,1.53276998175292e-12,5.87817288002245e-10,18.1513925515356
"LINC00302",-2.34399863402041,4.64339125196797,-7.83597348649084,2.63569680362872e-12,9.8191001778614e-10,17.6282949122379
"PLEKHA1",-1.70199740626834,7.26075243904254,-7.82371828874829,2.80832058587777e-12,1.0171581144239e-09,17.5670806120788
"PTPN21",-1.03108992985045,5.08177250720389,-7.79128034908087,3.32134708386365e-12,1.16994813599339e-09,17.4051855024159
"SCNN1B",-1.78399196372631,5.69968256377576,-7.78620584609962,3.40961953890242e-12,1.16994813599339e-09,17.3798764617976
"FHL1",-1.96448265706758,7.22705835945945,-7.76341706456401,3.83564688814557e-12,1.28238460960334e-09,17.2662762161491
"CCL27",-3.50706414024408,6.2216226503032,-7.68541569857935,5.73502450103677e-12,1.86947461172546e-09,16.8781845222223
"CHRNB2",1.55988272715356,6.80020086211591,7.66153012366396,6.485295701186e-12,2.06248221092108e-09,16.7595766528179
"ADH1B",-1.61766961308201,5.33973565388024,-7.64051120611179,7.22563641199496e-12,2.24321602800006e-09,16.6552960989841
"CD207",-1.69757968566239,6.93260386448546,-7.5544520974846,1.12381061253955e-11,3.40775966904724e-09,16.2292556303079
"CD248",-1.29937356277345,8.14334766203467,-7.54954249897465,1.15243512180652e-11,3.41321855578722e-09,16.2049958945977
"MYH11",-3.77219110832205,5.85311507983625,-7.54526473250964,1.1779648363404e-11,3.41321855578722e-09,16.1838622884823
"RORA",-2.9862485546411,6.29616008761763,-7.53168997105459,1.26275289476204e-11,3.57935543365265e-09,16.116823561576
"TGFBR3",-1.63265541926877,7.72236496445843,-7.50776089598792,1.42721288209754e-11,3.95945292971699e-09,15.9987440382992
"SOWAHC",-1.68873355250842,6.8806837772179,-7.49234121091888,1.54427175541366e-11,4.19494987892473e-09,15.9227185865165
"CTSV",-1.82670502176245,7.55241074065108,-7.48485413881638,1.60449649454686e-11,4.2695979168156e-09,15.8858224218495
"KCNK7",-2.58693732169594,5.21339658015354,-7.47064445222165,1.72527458781386e-11,4.43407835398251e-09,15.8158302533698
"PPP1R13L",-1.98021001441655,6.84888113879446,-7.46962029633705,1.73432008630346e-11,4.43407835398251e-09,15.8107872758536
"RXRA",-1.61815491033507,7.76682593908748,-7.46155869933058,1.80718311853523e-11,4.5315116697271e-09,15.771099583943
"HOXA9",-1.7727689407324,4.76936247445236,-7.4568907360497,1.85075307329209e-11,4.55320175899162e-09,15.7481253457415
