"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"GDPD2",-3.69544626534939,6.03558304182311,-8.03742998392534,3.96196020465184e-11,5.16599991084554e-07,14.7851613454611
"FN1",2.43653193224661,13.2061134807802,7.46402113716887,3.82066404820803e-10,2.49088192622923e-06,12.7064537304979
"LAMB4",-2.62126168875211,6.12555475522871,-6.83750944205117,4.53258274689897e-09,1.97001154789386e-05,10.4295682620536
"BICD2",-1.6217212062036,10.2301395363563,-6.30907257106079,3.59497179482828e-08,0.000108327790381861,8.51878565283188
"CHP2",-5.24902858414464,5.16862483762179,-6.25104294740384,4.50631296981854e-08,0.000108327790381861,8.31014691430801
"HOXA9",-3.49033971906234,6.63365151034667,-6.22509588854529,4.9847898020643e-08,0.000108327790381861,8.21695686641568
"IFNAR2",1.35220362769432,9.11592528232008,6.09029937447645,8.40990129456885e-08,0.000156652432828405,7.73390688058727
"SRD5A1",-2.45923695680615,9.06545010320854,-5.69200124681766,3.88891074279366e-07,0.000573655102683332,6.31944858513518
"FCGR2A",2.83241399120522,10.4420002781007,5.68727926395308,3.9595796641997e-07,0.000573655102683332,6.30281557135335
"ACADL",-2.52936968901883,5.26455659953918,-5.62879740123141,4.94739677887685e-07,0.000582624813981544,6.09711530720955
"EPHB6",-2.98099326266191,7.75780865094749,-5.61017695553702,5.31031545543834e-07,0.000582624813981544,6.0317400464738
"EXPH5",-2.9151149882771,7.63569278973509,-5.58852540420217,5.76547086761106e-07,0.000582624813981544,5.95579696130187
"COL17A1",-5.34305107484819,5.21871037888923,-5.57063253786864,6.17051722507854e-07,0.000582624813981544,5.89309863391868
"FGFR2",-2.62019544730778,6.29069292629221,-5.53574081800174,7.04285224019388e-07,0.000582624813981544,5.77099683252398
"EPS8L1",-2.55859684242551,7.703914293798,-5.52556447943963,7.31945830571091e-07,0.000582624813981544,5.73542627505474
"GPRIN2",-1.36767588286068,8.38698776919749,-5.51916705712425,7.49880861419628e-07,0.000582624813981544,5.71307421599038
